id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49015217,Small Place in Paradise,395278760,Nichol,,28715,35.55464,-82.66603,Entire home/apt,145,2,18,17/10/2021,2.93,1,79,18,
49034616,Tiny House in West Asheville w/hot tub,391971447,Robin,,28806,35.57749,-82.63867,Entire home/apt,112,1,69,13/10/2021,22.26,8,354,69,
49037064,Mountain House with Creek close to Everything!,5746326,Tim,,28805,35.61626,-82.48714,Entire home/apt,296,2,19,10/10/2021,6.13,2,128,19,
49052437,Luxury Chalet w/King Bds + Hot Tub + 15 min to AVL,145533530,Christy,,28805,35.63522,-82.4603,Entire home/apt,428,3,6,05/08/2021,1.29,6,102,6,
49052453,Downtown Luxury with 3 Bedrooms & Private Elevator,395605524,Michele,,28801,35.5862,-82.55428,Entire home/apt,559,2,8,19/09/2021,1.47,1,292,8,
49070464,"Upstairs Cottage, Heart of West Asheville",395750702,Matt,,28806,35.57976,-82.5858,Entire home/apt,122,3,25,03/10/2021,4.44,1,346,25,
49086595,Easy Breezy in walkable West Asheville,7748631,Susie,,28806,35.57363,-82.58601,Entire home/apt,150,2,18,17/10/2021,3.2,1,137,18,
49093110,Luxury Asheville Mountain Retreat w City Amenities,5941331,Jaime,,28803,35.53743,-82.51623,Entire home/apt,149,30,1,31/07/2021,0.37,1,42,1,
49152916,"Long Grass View: modern, eclectic and stunning!",96187307,Yonder,,28805,35.61529,-82.47731,Entire home/apt,290,1,4,09/08/2021,0.8,41,340,4,
49154831,Keys to Happiness Studio,187697096,Debra,,28803,35.53413,-82.51485,Entire home/apt,147,2,18,09/10/2021,3.18,1,345,18,
49155406,The Westside Rancher: *Cozy *Countryside Retreat*,367251476,Gilbert & Maria,,28806,35.54865,-82.61465,Entire home/apt,315,2,26,10/10/2021,4.59,1,136,26,
49171098,West Asheville Mountain Bus with Hot tub,396620878,Christine,,28806,35.57693,-82.6405,Entire home/apt,127,1,80,14/10/2021,12.83,3,356,80,
49178262,Welcome to Wind Horse Farm,10320568,Mary,,28806,35.59021,-82.62809,Entire home/apt,125,2,20,10/10/2021,3.28,1,26,20,
49187614,Quiet Bent Creek Bungalow - 1 mile from Parkway,299484090,Savanna,,28806,35.51649,-82.59417,Entire home/apt,185,2,23,17/10/2021,4.26,1,102,23,
49198746,Light and bright West Asheville,160357199,Rebekah,,28806,35.59795,-82.61103,Entire home/apt,91,2,9,15/10/2021,5.29,1,4,9,
49205622,West Asheville Airstream with Hot Tub,396620878,Christine,,28806,35.57773,-82.63926,Entire home/apt,105,1,58,15/10/2021,9.41,3,356,58,
49228803,Hillside Hideaway,134903005,Carolina Mornings,,28804,35.65055,-82.52899,Entire home/apt,465,1,1,29/08/2021,0.59,20,158,1,
49231039,"Woodsy Hideaway near Downtown, Parkway, Biltmore",26502590,Rebecca,,28805,35.59107,-82.53554,Entire home/apt,131,2,24,14/10/2021,4.07,1,131,24,
49232318,Cozy Comfy and Cute Asheville Tiny with HOT TUB,396620878,Christine,,28806,35.57536,-82.63941,Entire home/apt,127,1,69,14/10/2021,12.78,3,346,69,
49232645,"New Luxury Condo, Downtown Asheville with Mountain Views",167186184,Towns,,28801,35.58943,-82.55061,Entire home/apt,466,1,13,30/08/2021,2.25,104,105,13,
49232646,Mountain Cottage Getaway,167186184,Towns,,28804,35.62427,-82.52743,Entire home/apt,381,1,19,24/09/2021,3.18,104,339,19,
49241261,Beautiful home in quiet neighborhood!,9499010,Jacqueline,,28704,35.47724,-82.49668,Entire home/apt,200,5,0,,,1,0,0,
49243841,ASHEVILLE COTTAGE 18-10,174586650,Perry,,28805,35.5853,-82.48875,Entire home/apt,52,30,0,,,6,73,0,
49270741,Hilltop getaway in the heart of West Asheville,383996553,David,,28806,35.57225,-82.59217,Entire home/apt,164,1,21,12/10/2021,3.91,1,10,21,
49284012,Charming Asheville Studio Escape,21039179,Angie,,28804,35.63852,-82.60889,Entire home/apt,95,1,45,17/10/2021,7.89,1,77,45,
49291580,Colonial Revival in Grove Park,144282403,Enrique,,28801,35.61491,-82.54344,Entire home/apt,580,14,0,,,1,307,0,
49338161,Illusion of Seclusion,196046563,Cathy,,28704,35.47884,-82.51164,Entire home/apt,260,2,0,,,1,224,0,
49338673,Tiny Blue Home overlooking Mountains near downtown,200915871,Celeste And Chris,,28804,35.65104,-82.52638,Entire home/apt,143,2,27,12/10/2021,5.09,5,341,27,
49361421,"""BRAND NEW"" Retreat in 1898 Montford Victorian!",30145808,Ashima,,28801,35.6032,-82.56608,Entire home/apt,95,2,59,17/10/2021,20.58,1,214,59,
49364839,Asheville Farm Stay Yellow Door Suite with Hot Tub,398177301,Barry,,28806,35.63153,-82.62885,Entire home/apt,105,3,42,14/10/2021,10.08,6,356,42,
49381620,"Hidden South AVL Hideaway, close to everything!",140768240,Rebecca,,28732,35.44448,-82.51997,Entire home/apt,125,2,14,11/10/2021,4.29,1,121,14,
49383838,Asheville - Sierra Nevada Exit,397849230,Kelly,,28704,35.47497,-82.50576,Entire home/apt,185,2,10,17/10/2021,3.41,2,352,10,
49401018,Advantageous AVL Home Convenient to Mtns & City,56757021,Maggie,,28803,35.55582,-82.50391,Entire home/apt,300,3,21,17/10/2021,4.74,1,229,21,
49402207,Modern Farmhouse Retreat Renovated from the 1930’s,131324838,Nick,,28806,35.62136,-82.61726,Entire home/apt,210,2,11,03/10/2021,3.37,1,172,11,
49403726,Brand New Contemporary Home Perfect for Long Term,28788937,Jodie,,28806,35.58521,-82.57202,Private room,50,30,0,,,1,198,0,
49405884,NEW Inventive Asheville Container Home,62667,Heather,,28804,35.62893,-82.58075,Entire home/apt,184,2,22,15/10/2021,5.79,2,243,22,
49438516,NEW! ‘Oakley Cottage’ - 4 Mi to Blue Ridge Parkway,151397468,Evolve,,28803,35.55142,-82.50329,Entire home/apt,126,2,5,11/10/2021,1.28,23,334,5,
49443439,"Azalea Cottage, BOHO chic escape.",44036707,Michael,,28704,35.46285,-82.57695,Entire home/apt,85,2,23,09/10/2021,4.63,3,321,23,
49463884,Style Abounds in this Asheville Charmer,128356088,Stephanie,,28806,35.50776,-82.60976,Entire home/apt,377,3,7,11/10/2021,1.41,2,0,7,
49467252,Bent Creek Beauty featuring a Backyard Pool Oasis,307979667,Amanda,,28806,35.5098,-82.60715,Entire home/apt,201,3,27,08/10/2021,5.29,1,231,27,
49468364,"New Luxury Condo, Downtown Asheville",167186184,Towns,,28801,35.59092,-82.55274,Entire home/apt,409,1,10,23/09/2021,1.76,104,320,10,
49484290,Dogwood Cottage - Perfect couples escape,44036707,Michael,,28704,35.46411,-82.5764,Entire home/apt,81,2,14,14/10/2021,2.68,3,338,14,
49495510,Spacious Mountain-View Retreat | Private Hot Tub,149601167,TurnKey Vacation Rentals,,28704,35.46154,-82.58843,Entire home/apt,182,2,9,09/10/2021,1.84,38,327,9,
49503229,"""Eastern Sky"" - Deck & Mountain Views""",399254060,Janice,,28805,35.60076,-82.48111,Entire home/apt,130,3,9,16/10/2021,2.87,2,336,9,
49503489,New Camper/ Trailer 5 min from Downtown Asheville,176087087,Danny,,28806,35.59663,-82.62328,Entire home/apt,91,1,14,10/10/2021,3.47,4,314,14,
49503879,"5 bdrm historic home, 1 mi to downtown Asheville",161559240,The Lion And The Rose,,28801,35.60471,-82.56521,Entire home/apt,1495,2,0,,,6,44,0,
49506016,Private suite with hot tub on urban farm.,399290634,James,,28704,35.47595,-82.51669,Private room,94,2,19,17/10/2021,4.91,1,68,19,
49513241,2 Bedroom Quiet Urban Oasis; Mid-Century Charm,18493403,Elise,,28805,35.58069,-82.50414,Entire home/apt,220,2,17,17/10/2021,3.21,1,159,17,
49516666,Multiple Room Rental for Groups of 4-11 People,7625694,John,,28801,35.59169,-82.54953,Private room,145,2,0,,,9,307,0,
49520761,Vintage inspired haven!,87602978,Maggie,,28806,35.57624,-82.571,Entire home/apt,70,30,2,08/09/2021,0.8,1,178,2,
49544765,"Treehouse-like Hideaway, Walkable West Asheville",4810798,Kate,,28806,35.58317,-82.58009,Private room,80,2,27,03/10/2021,5,1,2,27,
49565047,"NEW! Mountain Refuge w/ View, 12 Mi to Asheville!",151397468,Evolve,,28715,35.51175,-82.65912,Entire home/apt,659,3,5,11/10/2021,1.61,23,300,5,
49589050,Grove Park Inn area Paris of the South guest suite,248689040,Angie,,28804,35.62522,-82.54926,Entire home/apt,204,2,21,10/10/2021,4.67,1,142,21,
